"","day","month","year","deaths","date"
"444",21,4,"2017",70,2017-04-21
"445",21,4,"2018",70,2018-04-21
"446",22,4,"2015",71,2015-04-22
"447",22,4,"2016",64,2016-04-22
"448",22,4,"2017",71,2017-04-22
"449",22,4,"2018",71,2018-04-22
"450",23,4,"2015",70,2015-04-23
"451",23,4,"2016",88,2016-04-23
"452",23,4,"2017",84,2017-04-23
"453",23,4,"2018",67,2018-04-23
"454",24,4,"2015",67,2015-04-24
"455",24,4,"2016",73,2016-04-24
"456",24,4,"2017",73,2017-04-24
"457",24,4,"2018",53,2018-04-24
"458",25,4,"2015",80,2015-04-25
"459",25,4,"2016",81,2016-04-25
"460",25,4,"2017",90,2017-04-25
"461",25,4,"2018",77,2018-04-25
"462",26,4,"2015",72,2015-04-26
"463",26,4,"2016",68,2016-04-26
"464",26,4,"2017",81,2017-04-26
"465",26,4,"2018",77,2018-04-26
"466",27,4,"2015",69,2015-04-27
"467",27,4,"2016",76,2016-04-27
"468",27,4,"2017",65,2017-04-27
"469",27,4,"2018",69,2018-04-27
"470",28,4,"2015",87,2015-04-28
"471",28,4,"2016",73,2016-04-28
"472",28,4,"2017",64,2017-04-28
"473",28,4,"2018",80,2018-04-28
"474",29,4,"2015",67,2015-04-29
"475",29,4,"2016",77,2016-04-29
"476",29,4,"2017",97,2017-04-29
"477",29,4,"2018",82,2018-04-29
"478",30,4,"2015",84,2015-04-30
"479",30,4,"2016",64,2016-04-30
"480",30,4,"2017",79,2017-04-30
"481",30,4,"2018",72,2018-04-30
"482",1,5,"2015",66,2015-05-01
"483",1,5,"2016",74,2016-05-01
"484",1,5,"2017",62,2017-05-01
"485",1,5,"2018",83,2018-05-01
"486",2,5,"2015",87,2015-05-02
"487",2,5,"2016",59,2016-05-02
"488",2,5,"2017",93,2017-05-02
"489",3,5,"2015",77,2015-05-03
"490",3,5,"2016",74,2016-05-03
"491",3,5,"2017",73,2017-05-03
"492",4,5,"2015",70,2015-05-04
"493",4,5,"2016",53,2016-05-04
"494",4,5,"2017",80,2017-05-04
"495",5,5,"2015",81,2015-05-05
"496",5,5,"2016",84,2016-05-05
"497",5,5,"2017",62,2017-05-05
"498",6,5,"2015",89,2015-05-06
"499",6,5,"2016",68,2016-05-06
"500",6,5,"2017",59,2017-05-06
"501",7,5,"2015",82,2015-05-07
"502",7,5,"2016",71,2016-05-07
"503",7,5,"2017",87,2017-05-07
"504",8,5,"2015",79,2015-05-08
"505",8,5,"2016",79,2016-05-08
"506",8,5,"2017",70,2017-05-08
"507",9,5,"2015",85,2015-05-09
"508",9,5,"2016",80,2016-05-09
"509",9,5,"2017",87,2017-05-09
"510",10,5,"2015",84,2015-05-10
"511",10,5,"2016",81,2016-05-10
"512",10,5,"2017",57,2017-05-10
"513",11,5,"2015",78,2015-05-11
"514",11,5,"2016",68,2016-05-11
"515",11,5,"2017",69,2017-05-11
"516",12,5,"2015",64,2015-05-12
