incident_id,offense_id,OFFENSE_CODE,OFFENSE_CODE_EXTENSION,OFFENSE_TYPE_ID,OFFENSE_CATEGORY_ID,FIRST_OCCURRENCE_DATE,LAST_OCCURRENCE_DATE,REPORTED_DATE,INCIDENT_ADDRESS,GEO_X,GEO_Y,GEO_LON,GEO_LAT,DISTRICT_ID,PRECINCT_ID,NEIGHBORHOOD_ID,IS_CRIME,IS_TRAFFIC,VICTIM_COUNT
2022105596,2022105596230800,2308,0,theft-from-bldg,larceny,3/2/2022 12:45:00 PM,,3/2/2022 3:27:00 PM,1615 PLATTE ST,3138380,1701283,-105.0078062,39.7577983,1,113,highland,1,0,1
2022159059,2022159059280400,2804,0,outside-steal-recovered-veh,all-other-crimes,4/1/2022 1:11:00 AM,,4/1/2022 1:11:00 AM,W ALAMEDA AVE / S BROADWAY ST,3144163,1684325,-104.9875777,39.7111576,3,311,baker,1,0,1
2020548364,2020548364120800,1208,0,robbery-residence,robbery,9/11/2020 3:00:00 PM,,9/11/2020 3:00:00 PM,1056 S HAZEL CT,3133065,1679310,-105.0271172,39.6975555,4,412,westwood,1,0,1
20176007994,20176007994230800,2308,0,theft-from-bldg,larceny,8/11/2017 12:00:00 PM,8/24/2017 12:00:00 PM,8/24/2017 1:33:00 PM,3203 N QUEBEC ST,3167444,1703321,-104.9043857,39.7629152,2,221,northeast-park-hill,1,0,1
201852415,201852415240400,2404,0,theft-of-motor-vehicle,auto-theft,1/22/2018 7:44:00 PM,,1/22/2018 11:56:00 PM,3111 W 22ND AVE,3132941,1698521,-105.0272025,39.7502954,1,121,sloan-lake,1,0,1
2018208598,2018208598357200,3572,0,drug-methampetamine-possess,drug-alcohol,3/29/2018 3:00:00 PM,,3/29/2018 4:37:00 PM,N SPEER BLVD / N BRYANT ST,3135150,1701179,-105.0192965,39.7575602,1,113,jefferson-park,1,0,1
2017450811,2017450811353e3,3530,0,drug-cocaine-sell,drug-alcohol,7/8/2017 7:42:00 PM,,7/8/2017 11:18:00 PM,N MILWAUKEE ST / E 37TH AVE,3153933,1705131,-104.9524056,39.7681173,2,212,clayton,1,0,1
20195003219,20195003219500600,5006,0,intimidation-of-a-witness,all-other-crimes,8/10/2019 5:30:00 PM,,8/13/2019 2:25:00 PM,117 S MILWAUKEE ST,2.5,2.5,-115.4640559,34.6382402,3,311,,1,0,1
2020480373,2020480373220400,2204,0,burglary-residence-no-force,burglary,8/9/2020 12:23:00 AM,,8/9/2020 3:35:00 AM,816 N ACOMA ST,3143882,1691148,-104.9884399,39.7298924,6,611,civic-center,1,0,1
2017176296,2017176296410400,4104,0,liquor-possession,drug-alcohol,3/16/2017 11:40:00 PM,,3/17/2017 12:31:00 AM,2200 BLOCK S ALBION ST,3157767,1671499,-104.9395052,39.6757268,3,314,university-hills,1,0,1
2020216817,2020216817240400,2404,0,theft-of-motor-vehicle,auto-theft,4/10/2020 5:45:00 AM,4/10/2020 6:00:00 AM,4/10/2020 6:25:00 AM,500 BLK S DECATUR ST,3134195,1682883,-105.0230348,39.707348,4,412,athmar-park,1,0,1
